id;project_id;work_request;work_request_description;work_rwquest_phase;start_date;end_date;status;design
1;Generic plum;Ergonomic Compatible blockchains;Fantastic Practical plug-and-play;Product;2023-07-19T20:21:00;2023-07-20T11:08:23;OnHold;Completed
2;Ghana Direct;Center;Integration Divide FTP;integrated Intelligent calculating;2023-07-20T18:05:51;2023-07-20T14:22:58;Canceled;Completed
3;fresh-thinking Marketing;Falls input regional;Specialist;backing quantifying Planner;2023-07-20T08:42:38;2023-07-19T21:47:54;OnHold;OnHold
4;Industrial;web-enabled Lights;Beauty reintermediate;Bacon Portugal bricks-and-clicks;2023-07-20T07:00:45;2023-07-20T11:46:53;InProgress;Completed
5;maroon web-readiness;Wooden;Martinique e-commerce transmitting;transmitter gold;2023-07-20T05:14:07;2023-07-20T02:08:23;Canceled;Completed
6;Shoes Florida;Sol Loan Concrete;Tajikistan;Orchestrator Electronics uniform;2023-07-20T11:15:46;2023-07-20T16:49:59;Pending;Canceled
7;client-driven Engineer Assistant;next methodology;grow Berkshire Cote;Branding embrace;2023-07-20T10:55:33;2023-07-20T00:04:39;Pending;Canceled
8;Investment;cohesive Identity Concrete;program;Chair installation Open-source;2023-07-20T00:53:21;2023-07-20T13:02:44;OnHold;Completed
9;Avon;Illinois De-engineered Grocery;Turkmenistan Operative;repurpose Keyboard generate;2023-07-20T05:13:32;2023-07-20T03:19:16;Pending;Canceled
10;Inlet;Peso;Incredible;integrate;2023-07-20T16:06:02;2023-07-20T03:55:20;OnHold;OnHold
